-524.306829765518,-1643.45721990135,-1366.9018960252
-510.152280252843,-1803.76116135089,-1370.57213031983
-468.381100745832,-1959.19411928247,-1373.65228140947
-400.261672452805,-2105.03637437476,-1376.04882055478
-307.862440741792,-2236.85942884718,-1377.68897688232
-193.989106829486,-2350.66047772537,-1378.52294707102
-62.0994327079565,-2442.98395395117,-1378.52540762922
83.8017537438242,-2511.02645662202,-1377.69628384212
239.284165295491,-2552.72187621518,-1376.06075204045
521.232378510143,-2558.81212222626,-1371.398500512
640.715916036781,-2534.88138728653,-1368.77579956223
755.9969235988,-2495.42857357658,-1365.84603484712
865.068299459671,-2441.14057490993,-1362.66021507984
966.031054770094,-2372.96257331351,-1359.27380702392
1057.12737594226,-2292.08158292167,-1355.74576978836
1136.77122909008,-2199.9057834485,-1352.13752831914
1203.57597369629,-2098.04000305348,-1348.51190395926
1203.69858292573,-1968.05556279221,-1345.33791877187
1151.01866001715,-1947.85334841088,-1345.74381687252
1098.33873572828,-1927.65113438878,-1346.14971500548
491.11629490624,-2335.13087095403,-1366.45407760876
581.011555752751,-2317.21172068118,-1364.4829350207
667.774309336093,-2287.66645700163,-1362.28154066136
749.907869010979,-2247.00474563892,-1359.88786932296
825.995403282111,-2195.92801477342,-1357.34321264018
894.724376623434,-2135.31735517063,-1354.69146679563
954.909191156875,-2066.21832106949,-1351.9783752959
1005.51163861401,-1989.82289402047,-1349.25073988078
-288.682792930515,-1525.61469920913,-1360.00585170228
-298.578367619188,-1646.46393909711,-1363.12367438373
-287.399935283134,-1767.21606078958,-1365.87954259525
-255.484995570653,-1884.22531169996,-1368.19025106044
-203.797125538415,-1993.95894413669,-1369.98603478265
-133.896887296827,-2093.10387615403,-1371.21267539241
-47.894711460268,-2178.66672024639,-1371.83313811042
51.6128210531595,-2248.06415981617,-1371.82868990304
161.621375090091,-2299.20094476534,-1371.1994650707
278.809568261515,-2330.53315136499,-1369.96446119314
-310.733598891049,-1388.16451660446,-1357.02803045604
-363.455218699685,-1368.0120084901,-1357.43585296574
-416.176838252131,-1347.85950136238,-1357.84367549515
-510.414946610673,-1483.14992159303,-1362.75302513219
