437.7274874,750,1347.186682
643.0847635,750,1262.124913
832.6071585,750,1145.98544
1001.628002,750,1001.628002
1145.98544,750,832.6071585
1262.124913,750,643.0847635
1347.186682,750,437.7274874
1399.076243,750,221.5919078
1416.515905,750,8.67E-14
1399.076243,750,-221.5919078
1347.186682,750,-437.7274874
1262.124913,750,-643.0847635
1145.98544,750,-832.6071585
1001.628002,750,-1001.628002
832.6071585,750,-1145.98544
643.0847635,750,-1262.124913
437.7274874,750,-1347.186682
221.5919078,750,-1399.076243
1.73E-13,750,-1416.515905
-221.5919078,750,-1399.076243
-437.7274874,750,-1347.186682
-643.0847635,750,-1262.124913
-832.6071585,750,-1145.98544
-1001.628002,750,-1001.628002
-1145.98544,750,-832.6071585
-1262.124913,750,-643.0847635
-1347.186682,750,-437.7274874
-1399.076243,750,-221.5919078
-1416.515905,750,-2.60E-13
-1399.076243,750,221.5919078
-1347.186682,750,437.7274874
-1262.124913,750,643.0847635
-1145.98544,750,832.6071585
-1001.628002,750,1001.628002
-832.6071585,750,1145.98544
-643.0847635,750,1262.124913
-437.7274874,750,1347.186682
-221.5919078,750,1399.076243
0,750,1416.515905
221.5919078,750,1399.076243
437.7274874,650,1347.186682
643.0847635,650,1262.124913
832.6071585,650,1145.98544
1001.628002,650,1001.628002
1145.98544,650,832.6071585
1262.124913,650,643.0847635
1347.186682,650,437.7274874
1399.076243,650,221.5919078
1416.515905,650,8.67E-14
1399.076243,650,-221.5919078
1347.186682,650,-437.7274874
1262.124913,650,-643.0847635
1145.98544,650,-832.6071585
1001.628002,650,-1001.628002
832.6071585,650,-1145.98544
643.0847635,650,-1262.124913
437.7274874,650,-1347.186682
221.5919078,650,-1399.076243
1.73E-13,650,-1416.515905
-221.5919078,650,-1399.076243
-437.7274874,650,-1347.186682
-643.0847635,650,-1262.124913
-832.6071585,650,-1145.98544
-1001.628002,650,-1001.628002
-1145.98544,650,-832.6071585
-1262.124913,650,-643.0847635
-1347.186682,650,-437.7274874
-1399.076243,650,-221.5919078
-1416.515905,650,-2.60E-13
-1399.076243,650,221.5919078
-1347.186682,650,437.7274874
